Sno,Title,Bed,Bath,Price,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Internet,Garden / Patio / Balcony,Microwave,Gym,Pets Allowed
68,"U Drogheda, Bryanstown, Beanmore Rd, Drogheda, Co. Meath",2 Bed,2 Bath,"€1,950 per month",1,0,1,1,1,1,1,1,0,0
69,"U Clonsilla, Windmill Lodge, Dublin 15",1 Bed,1 Bath,"€1,950 per month",1,1,1,1,1,1,1,1,0,0
70,"U HX, Harolds Cross Road, Dublin 6W",1 Bed,1 Bath,"€2,250 per month",1,1,1,1,1,1,1,1,0,0
71,"Hazelwood Accommodation, Northwood, Santry, Dublin 9",N/A,N/A,From €165 per week,1,0,0,0,0,1,0,1,0,0
72,"Montrose, Stillorgan Rd, Dublin, D04 AE48, Stillorgan, Co. Dublin",N/A,N/A,From €320 per week,0,1,1,1,1,1,0,1,0,0
73,"St. Edmunds , St Edmunds, Lucan, Co. Dublin",2 Bed,2 Bath,"€2,300 per month",1,1,1,1,1,0,1,1,0,0
74,"Adamstown, Lucan, Lucan, Co. Dublin",1 Bed,1 Bath,"€1,979 per month",1,1,1,0,0,0,1,0,0,0
75,"Lancaster Gate , Lancaster Gate , Western Road, Co. Cork",1 Bed,1 Bath,"€1,020 per month",1,1,1,1,1,0,1,1,0,0
76,"The Paddocks, Morristown, Newbridge, Co. Kildare",1 Bed,1 Bath,"€1,037 per month",1,0,1,1,1,0,1,1,0,0
77,"Longview, Longview , Ballyvolane, Co. Cork",2 Bed,1 Bath,"€1,340 per month",1,1,1,1,1,0,1,1,0,0
78,"Knockrabo, Mount Anville Road, Goatstown, Dublin 14",2 Bed,2 Bath,"€3,556 per month",1,1,1,1,1,0,1,1,0,0
79,"Palmers Gate, Kennelsfort Road Lower, Palmerstown, Dublin 20",2 Bed,2 Bath,"€2,375 per month",1,1,1,1,1,1,1,1,1,0
80,"Mill Pond , Parnell Avenue , Harold's Cross, Dublin 6",2 Bed,2 Bath,"€2,650 per month",0,1,1,0,1,0,1,1,0,0
81,"Elmville , Harolds Cross Road, Harolds Cross, Dublin 6W",1 Bed,1 Bath,"€2,370 per month",1,1,1,1,1,0,1,1,0,0
82,"Rostrevor Place , Orwell Road , Rathgar, Dublin 6",2 Bed,2 Bath,"€3,297 per month",1,1,1,1,1,1,1,1,1,1
83,"Hazelwood Student Village, Hazelwood Student Village, Northwood, Santry, Dublin 9",4 Bed,4 Bath,"€2,850 per month",1,0,0,0,0,1,0,1,0,0
84,"Copely Court, Copley St, Cork City Centre",1 Bed,1 Bath,€250 per week,0,1,1,0,0,1,0,1,1,0
85,"Stoneybatter Place, Rope Walk, 20 Stoneybatter, Dublin 7, D07 NP2K, Dublin 7",N/A,N/A,€364 per week,0,0,1,1,0,1,0,1,1,0
86,"The Benson, The Benson, Britain Quay, Dublin 2",3 Bed,2 Bath,"€4,500 per month",0,0,0,0,0,0,0,0,0,0
87,"Occu Hollywoodrath, Hollywoodrath, Hollystown, Dublin 15",3 Bed,3 Bath,"€2,256 per month",0,0,0,0,0,0,0,0,0,0
88,"Occu Verville, Vernon Avenue, Clontarf, Dublin 3",2 Bed,2 Bath,"€2,479 per month",1,1,1,0,1,1,0,1,0,1
89,"Occu Strand View, Howth Road, Raheny, Dublin 5",3 Bed,2 Bath,"€3,451 per month",1,1,1,1,1,1,1,1,0,1
90,"Occu Adamstown, Adamstown, Adamstown, Co. Dublin",1 Bed,1 Bath,"€1,908 per month",1,1,1,1,1,0,1,1,0,1
91,"Occu Brookwood, St. Brigid's Road, Killester, Dublin 5",1 Bed,1 Bath,"€2,095 per month",1,1,1,1,1,1,1,1,0,1
92,"Occu East Village, Leopardstown, Dublin 18, Clay Farm Drive, Leopardstown, Dublin 18",1 Bed,1 Bath,"€2,250 per month",1,1,1,1,1,0,1,1,1,1
93,"Occu Hanover Mills, Dublin 2, Creighton Street, Dublin 2",2 Bed,1 Bath,"€3,000 per month",1,1,1,1,1,1,1,1,0,0
94,"Kinlay Hostel Student Accommodation Galway, Eyre Square, Galway, Galway City Centre",N/A,N/A,N/A,0,0,0,0,0,1,0,1,0,0
95,"Allmans View, Bandon, Co. Cork, Coolfadda, Bandon, Co. Cork",2 Bed,2 Bath,"€1,080 per month",1,1,1,0,1,0,1,0,0,1
96,"U Carton Grove, Carton Grove, Maynooth, Co. Kildare",2 Bed,2 Bath,"€2,090 per month",0,0,0,0,0,0,0,0,0,0
97,"Clancy Quay by Kennedy Wilson, South Circular Road, Dublin 8",2 Bed,2 Bath,"€2,500 per month",1,1,1,1,1,0,1,1,1,0
98,"Charlotte Apartments, Honeypark, Dun Laoghaire, Co. Dublin",1 Bed,1 Bath,"€1,958 per month",1,1,1,0,1,1,1,1,0,0
99,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",N/A,N/A,From €240 per week,1,1,0,0,0,1,0,1,0,0
100,"Drumkeen, Glenamuck Road, Carrickmines, Dublin 18",4 Bed,4 Bath,"€4,000 per month",1,1,1,1,1,1,1,1,0,1
101,"The Fairways, Tir Cluain, Midleton, Co. Cork, The Fairways, Midleton, Co. Cork",3 Bed,2 Bath,"€1,380 per month",0,0,0,0,0,0,0,0,0,0
102,"Wyckham Point, Wyckham Way, Dublin 14",2 Bed,2 Bath,"€2,051 per month",0,0,0,0,0,0,0,0,0,0
