Sno,Title,Bed,Bath,Price,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Internet,Garden / Patio / Balcony,Microwave,Gym,Pets Allowed
382,"Apartment A, Main Street, Newcastle, South Co.Dublin, Newcastle, Co. Dublin",3 Bed,1 Bath,"€2,500 per month",1,1,1,0,0,1,1,1,0,0
383,"Rafter's Court, Rafters Road, Drimnagh, Dublin 12",3 Bed,3 Bath,"€3,800 per month",1,1,1,1,1,1,1,1,0,0
384,"Londonbridge Road, Sandymount, Dublin 4",3 Bed,2 Bath,"€3,250 per month",1,1,1,1,1,1,1,0,0,0
385,"20 Bath Street, Dublin 4, Irishtown, Dublin 4",2 Bed,1 Bath,"€2,700 per month",0,1,1,1,1,0,1,1,0,0
386,"Ellagh, Headford, Headford, Co. Galway",4 Bed,2 Bath,"€1,900 per month",1,1,1,1,1,0,1,1,0,0
387,"Calry Court, Stephen Street, Sligo, Sligo, Co. Sligo",2 Bed,1 Bath,"€1,220 per month",0,1,1,1,0,0,1,1,0,0
388,"128 Scarriff House, Custom House Square, Mayor Street Lower, IFSC, Dublin 1",2 Bed,2 Bath,"€2,700 per month",1,1,1,0,1,1,1,1,0,0
389,"179 Glenwood, Dundalk, Co. Louth",3 Bed,1 Bath,"€1,850 per month",1,0,0,0,0,0,0,0,0,0
390,"Park Road, Charleville, Co. Cork",2 Bed,1 Bath,"€1,200 per month",1,1,1,1,1,1,0,1,0,0
391,"East Lodge Ballyduff Upper near Lismore, Ballyduff, Co. Waterford",3 Bed,2 Bath,"€1,500 per month",1,1,1,1,0,0,1,1,0,0
392,"Tiaquin, Colemanstown, Ballinasloe, Colmanstown, Co. Galway",2 Bed,1 Bath,"€1,200 per month",1,1,1,0,1,0,1,1,0,0
393,"The Bottle Works,Dermot O'Hurley Avenue,Dublin 4, Irishtown, Dublin 4",1 Bed,1 Bath,"€2,200 per month",1,1,1,1,1,1,1,0,0,0
394,"Apartment 2, 12 Mark'S Lane, Dublin 2, Dublin 2",2 Bed,1 Bath,"€1,300 per month",0,1,1,1,1,1,1,1,0,0
395,"cabragh , Clondrohid, Co. Cork",N/A,N/A,"€1,000 per month",1,1,1,1,1,1,1,0,0,0
396,"64 The Waterways, Sallins, W91E278, Sallins, Co. Kildare",3 Bed,3 Bath,"€2,500 per month",1,1,1,0,1,0,1,1,0,0
397,"Apartment 13, Alder Lodge, The Orchard, Sallins Road, W91WF6R, Naas, Co. Kildare",2 Bed,2 Bath,"€2,300 per month",1,0,1,1,1,0,1,1,0,0
398,"6 Castlesize Drive, Sallins, W91K2F6, Sallins, Co. Kildare",3 Bed,2 Bath,"€2,350 per month",1,1,1,0,1,0,1,1,0,0
399,"Cúirt Na Habhann, Lakeview, Claregalway, Galway, Claregalway, Co. Galway",2 Bed,1 Bath,"€2,000 per month",1,1,1,1,1,0,1,1,0,0
400,"Joy's Accommodation, 21 Cork Street, Kinsale, Kinsale, Co. Cork",N/A,N/A,"€1,300 per month",1,1,1,1,0,1,0,1,0,0
401,"athgarvan rd, Newbridge, Co. Kildare",1 Bed,1 Bath,"€1,000 per month",1,1,1,1,1,0,0,1,0,0
402,"Grove Park,Dublin 6, Rathmines, Dublin 6",N/A,N/A,"€1,450 per month",1,1,1,0,0,1,0,1,0,0
403,"Ballintober, Moydow, Longford, Carrickboy, Co. Longford",3 Bed,2 Bath,"€1,400 per month",1,1,1,0,1,0,1,1,0,0
404,"14 Aspen Road, Kinsealy Court, Swords, Co. Dublin",3 Bed,2 Bath,"€2,550 per month",0,0,0,0,0,0,0,0,0,0
405,"Drumcondra, Dublin 3, Drumcondra, Dublin 3",3 Bed,1 Bath,"€2,600 per month",1,1,1,0,1,0,0,0,0,0
406,"James Street, Dublin 8",2 Bed,1 Bath,"€2,200 per month",0,1,1,0,0,1,0,1,0,0
407,"lamb alley, Christchurch, Dublin 8",1 Bed,1 Bath,"€1,450 per month",0,1,1,1,0,0,1,1,0,0
408,"101 Clonlea, Mount Oval Village, Rochestown, Co. Cork",3 Bed,3 Bath,"€2,300 per month",1,1,1,0,1,0,1,1,0,0
409,"52 High Street, Cork, Cork City Centre",2 Bed,1 Bath,"€2,419 per month",0,1,1,0,0,0,1,0,0,0
410,"26 Curra Woods, Riverstick, Ballymartle, Co. Cork",4 Bed,3 Bath,"€2,700 per month",1,1,1,0,1,0,1,0,0,0
411,"232 Fernwood, Glyntown, Glanmire, Co. Cork",2 Bed,1 Bath,"€2,200 per month",1,1,1,0,0,0,1,0,0,0
412,"15 The Drive, Broadale, Douglas, Co. Cork",3 Bed,1 Bath,"€2,300 per month",1,0,1,0,0,0,1,1,0,0
413,"190 Old Youghal Road, Cork, St. Lukes, Co. Cork",2 Bed,2 Bath,"€2,800 per month",0,0,1,0,0,0,0,1,0,0
414,"DOORADOYLE  PARK, Dooradoyle, Co. Limerick",3 Bed,2 Bath,"€2,300 per month",1,1,1,1,1,0,1,1,0,0
415,"36 Thornville Park, Kilbarrack, Dublin 13",3 Bed,1 Bath,"€2,500 per month",0,0,0,0,0,0,0,0,0,0
416,"6 Rathmore Avenue, Tyrellstown, D15 YV2T, Dublin 15",3 Bed,2 Bath,"€2,700 per month",0,0,0,0,0,0,0,0,0,0
417,"34 The Green, Larch Hill, D17 T341, Dublin 17",2 Bed,1 Bath,"€2,419 per month",0,0,0,0,0,0,0,0,0,0
418,"12 Lorcan Park, Santry, Dublin 9",3 Bed,3 Bath,"€3,600 per month",0,0,0,0,0,0,0,0,0,0
419,"5 Drynam Drive, Drynam Hall, Swords, Co. Dublin",3 Bed,3 Bath,"€2,789 per month",1,1,1,0,1,0,1,0,0,0
420,"Apartment 52, Grove Court, Clonsilla, Dublin 15",2 Bed,1 Bath,"€2,080 per month",0,0,0,0,0,0,0,0,0,0
421,"Flat 4, 161 James's Street, Dublin 8",1 Bed,1 Bath,"€1,930 per month",0,1,1,0,0,0,1,1,0,0
422,"Apt.52 Grove Court, Grove Road, Blanchardstown, Dublin 15",2 Bed,1 Bath,"€2,080 per month",0,0,0,0,0,0,0,0,0,0
423,"No 3 HeathersField, Cluain A Laoi. Cork Road, Waterford City Centre",3 Bed,2 Bath,"€1,900 per month",1,1,1,1,1,0,1,1,0,0
424,"Courtney House, Appian Way, Ranelagh, Dublin 6",2 Bed,1 Bath,"€2,250 per month",1,1,1,1,1,1,0,1,0,0
425,"244 Foxrock Grove, Kill Lane, Foxrock, Dublin 18",2 Bed,1 Bath,"€2,850 per month",0,0,0,0,0,0,0,0,0,0
426,"24A Auburn Road, Glenageary, Co. Dublin",3 Bed,1 Bath,"€3,000 per month",0,0,0,0,0,0,0,0,0,0
427,"20 Clay Farm Green, Leopardstown, Dublin 18",3 Bed,3 Bath,"€3,450 per month",0,0,0,0,0,0,0,0,0,0
428,"Gleann Ribh, Lusk, Co. Dublin",3 Bed,2 Bath,"€2,900 per month",1,1,1,0,0,0,1,1,0,1
429,"Applewood, Maryborough Ridge, Rochestown, Co. Cork",2 Bed,3 Bath,"€2,500 per month",1,0,1,1,0,1,1,1,0,0
430,"Flat 3, 439 , North Circular Road, Dublin 7",N/A,N/A,"€1,080 per month",0,1,1,0,0,0,0,1,0,0
431,"Apt 68 Old Kilmainham Village, Bow Lane West, Dublin 8",1 Bed,1 Bath,"€1,435 per month",1,0,1,0,0,0,0,1,0,0
432,"36 Larkfield Avenue, Lucan, Co. Dublin",4 Bed,2 Bath,"€3,325 per month",1,1,1,1,1,1,1,1,0,0
433,"36 Auburn Road, Glenageary, Killiney, Co. Dublin",3 Bed,2 Bath,"€3,000 per month",0,0,0,0,0,0,0,0,0,0
434,"Apartment 3, Keane Hall, Castleknock, Dublin 15",2 Bed,2 Bath,"€2,183 per month",1,1,1,0,0,1,1,0,0,0
435,"Clara, 9 Castleknock Road, Clonsilla, Dublin 15",7 Bed,3 Bath,"€6,000 per month",1,1,1,1,1,1,1,1,0,1
436,"Apartment 10, Rowan Hall, Millbrook Court, Milltown, Dublin 6",2 Bed,2 Bath,"€2,700 per month",1,1,1,0,0,1,1,1,0,0
437,"32 Kickham Road, Dublin 8, Inchicore, Dublin 8",2 Bed,1 Bath,"€2,400 per month",1,1,1,0,0,1,1,1,0,0
438,"Herberton Park, Dublin 8, Rialto, Dublin 8",1 Bed,1 Bath,"€1,700 per month",0,1,1,1,0,1,0,1,0,0
439,"18a Springbank, Saggart, Rathcoole, Co. Dublin",4 Bed,2 Bath,"€3,800 per month",1,1,1,0,0,1,1,1,0,0
440,"11 Alderwood Green, Springfield, Tallaght, Dublin 24",3 Bed,1 Bath,"€2,800 per month",1,1,1,0,0,1,1,1,0,0
441,"Unit 10, Block C, Cashel Business Centre, Crumlin, Dublin 12",1 Bed,1 Bath,"€2,000 per month",1,1,1,0,1,1,0,1,0,0
442,"60 John Mccormack Avenue, Dublin 12, Crumlin, Dublin 12",2 Bed,1 Bath,"€2,600 per month",1,1,1,0,1,1,1,1,0,0
443,"109 Saran Wood, Bray, Bray, Co. Wicklow",4 Bed,3 Bath,"€2,700 per month",1,1,1,0,0,1,1,1,0,0
444,"22 Saint Albans Road, Dublin 8, South Circular Road, Dublin 8",3 Bed,2 Bath,"€3,700 per month",0,1,1,0,0,1,1,1,0,0
445,"Flat 1, 14 Grosvenor Road, Rathgar, Dublin 6",1 Bed,1 Bath,"€1,600 per month",0,0,1,1,0,1,1,1,0,0
446,"Flat 13, 539 North Circular Road, North Circular Road, Dublin 1",1 Bed,1 Bath,"€1,650 per month",0,1,1,0,0,1,0,1,0,0
447,"76 Saint Alban's Park, Dublin 4, Sandymount, Dublin 4",3 Bed,2 Bath,"€3,411 per month",1,1,1,0,0,1,1,0,0,0
448,"Flat 4, 14 Grosvenor Road, Rathgar, Dublin 6",1 Bed,1 Bath,"€1,450 per month",1,1,1,1,0,1,1,1,0,0
449,"19 Faussagh Road, Dublin 7, Phibsborough, Dublin 7",2 Bed,1 Bath,"€2,300 per month",0,1,1,0,1,1,1,1,0,0
450,"38 Neagh Road, Terenure, Terenure, Dublin 6W",3 Bed,1 Bath,"€2,766 per month",1,1,1,0,0,1,1,0,0,1
451,"1 Gulistan Place, Dublin 6, Ranelagh, Dublin 6",2 Bed,1 Bath,"€2,550 per month",1,1,1,0,0,1,1,1,0,0
452,"Herberton Park, Dublin 8, Rialto, Dublin 8",1 Bed,1 Bath,"€1,750 per month",0,1,0,1,0,1,0,1,0,0
453,"25 Hazelbrook Drive, Dublin 6w, Kimmage, Dublin 6W",3 Bed,1 Bath,"€2,500 per month",1,1,1,0,0,1,1,0,0,0
454,"Apartment 49, Block C, Old Kilmainham Village, Kilmainham, Dublin 8",1 Bed,1 Bath,"€1,506 per month",1,1,1,1,0,1,0,1,0,0
455,"3 Island View Court, Raheny, Dublin 5",3 Bed,2 Bath,"€2,800 per month",1,1,1,1,1,0,0,1,0,0
456,"9 Ráth Lao, Clybaun Road, Knocknacarra, Co. Galway",4 Bed,3 Bath,"€2,250 per month",1,1,1,1,0,0,1,0,0,0
457,"30 Maigh Riocaird, Headford Road, Co. Galway",2 Bed,2 Bath,"€1,650 per month",0,1,1,0,0,0,1,0,0,0
458,"Tirellan Heights, Headford Road, Co. Galway",3 Bed,2 Bath,"€2,000 per month",1,1,1,1,0,0,1,1,0,0
459,", Gleann Na Mona, Ballymoneen Road, Ga, Knocknacarra, Co. Galway",2 Bed,2 Bath,"€2,400 per month",1,1,1,1,1,1,1,1,0,0
460,"Monard Cross,Rathpeacon,Co. Cork, Rathpeacon, Co. Cork",1 Bed,1 Bath,€900 per month,1,1,1,0,0,0,1,1,0,0
461,"Weaver's Point,Crosshaven,Cork, Crosshaven, Co. Cork",2 Bed,1 Bath,"€1,395 per month",1,1,1,0,0,0,1,0,0,1
462,"44 Inchicore road, Kilmainham, Dublin 8",1 Bed,1 Bath,"€1,330 per month",0,1,1,1,0,0,1,1,0,0
463,"Apartment 76, The Pavilion Apartments, Marine Road, Dun Laoghaire, Co. Dublin",2 Bed,2 Bath,"€2,500 per month",1,1,1,0,0,0,1,0,0,0
464,"Rockfield, Termonfeckin, Co. Louth",1 Bed,1 Bath,€975 per month,1,1,1,1,0,1,1,1,0,0
465,"St Raphaelas Road, Stillorgan , Kilmacud, Co. Dublin",1 Bed,1 Bath,"€2,200 per month",1,1,1,1,0,1,1,1,0,0
466,"8 Ashton Grove, Earlscourt, Waterford City Centre",3 Bed,1 Bath,"€2,070 per month",1,0,1,1,1,0,1,0,0,0
467,"Knockane, Annestown, Co. Waterford",3 Bed,2 Bath,"€1,400 per month",1,1,1,1,0,0,1,1,0,0
468,"Smithfield Village, Smithfield, Dublin 1",2 Bed,1 Bath,"€2,150 per month",0,1,1,1,1,1,1,1,0,0
469,"115 Curragh Birin, Castletroy, Limerick, Singland, Co. Limerick",5 Bed,2 Bath,€120 per week,1,1,1,1,1,1,1,1,0,0
470,"24 Ratoath Drive, Dublin 11, Finglas, Dublin 11",2 Bed,1 Bath,"€2,000 per month",1,1,1,0,1,0,1,0,0,0
471,"5 Saint Mary'S Road, Dublin 12, Crumlin, Dublin 12",8 Bed,9 Bath,"€7,413 per month",1,1,1,1,1,1,1,1,0,0
472,"8 The Courtyard, Grant'S Row, Grand Canal Dock, Dublin 2",2 Bed,1 Bath,"€2,515 per month",0,1,1,0,0,0,1,1,0,0
473,"Merrion Village,Merrion Road,Dublin 4, Merrion, Dublin 4",1 Bed,1 Bath,"€2,200 per month",1,1,1,0,1,0,0,1,0,0
474,"Herbertstown Area, Bruff, Co. Limerick",5 Bed,5 Bath,"€2,200 per month",0,0,0,0,0,0,0,0,0,0
475,"Saint Peters Road, Phibsborough, Dublin 7",1 Bed,1 Bath,"€1,900 per month",0,0,0,0,0,0,0,0,0,0
476,"Saint Peters Road, Phibsborough, Dublin 7",1 Bed,1 Bath,"€1,800 per month",0,0,0,0,0,0,0,0,0,0
477,"Rathborne Court, Ashtown, Dublin 15",2 Bed,2 Bath,"€2,450 per month",0,0,0,0,0,0,0,0,0,0
478,"Wellington Street Upper, Dublin 7",2 Bed,1 Bath,"€2,600 per month",0,0,0,0,0,0,0,0,0,0
479,"Main Street, Athboy, Co. Meath",1 Bed,1 Bath,"€1,000 per month",0,0,0,0,0,0,0,0,0,0
480,"Old Station House, Canal Harbour, Monasterevin, Co. Kildare",4 Bed,3 Bath,"€2,180 per month",0,0,0,0,0,0,0,0,0,0
481,"55 The Waterways, Osberstown, Sallins, Co. Kildare",2 Bed,1 Bath,"€2,000 per month",0,0,0,0,0,0,0,0,0,0
482,41 Prospect Lawn,3 Bed,1 Bath,"€3,000 per month",0,1,0,0,0,0,0,0,0,0
483,Hazelbury Green,4 Bed,2 Bath,"€3,500 per month",0,0,0,0,0,0,0,0,0,0
484,"Streamstown Wood, Streamstown Lane",8 Bed,5 Bath,"€6,656 per month",0,0,0,0,0,0,0,0,0,0
485,"Bellair House, Bellair, Ballycumber",7 Bed,1 Bath,"€8,000 per month",0,1,1,1,0,0,0,0,0,0
486,21 Rossmore Park,3 Bed,1 Bath,"€2,995 per month",0,1,1,1,0,0,0,0,0,0
487,22 Rinawade Park,3 Bed,3 Bath,"€3,495 per month",0,1,1,1,0,0,0,0,0,0
488,Corglass,3 Bed,2 Bath,"€1,400 per month",0,0,0,0,0,0,0,0,0,0
489,"Grace Court, Dromod, Co. Leitrim",3 Bed,2 Bath,"€1,500 per month",0,1,1,0,1,0,1,1,0,0
490,"Culmore, Kilkelly, Ballyhaunis, Kilmore, Co. Mayo",3 Bed,1 Bath,€900 per month,1,1,1,1,1,0,1,1,0,0
491,"Dun Eibhir, Furbo, Co. Galway",3 Bed,1 Bath,"€2,500 per month",1,1,1,1,1,0,1,1,0,0
492,"The Willow,Rockfield,Dundrum,Dublin 16, Kilmacud, Co. Dublin",2 Bed,2 Bath,"€2,704 per month",0,0,1,1,0,0,1,1,0,0
493,"Pembroke Court, Rahoon, Co. Galway",2 Bed,2 Bath,"€1,690 per month",1,1,1,1,0,0,1,1,0,0
494,"Tallaght Cross West, Tallaght, Dublin 24",2 Bed,2 Bath,"€2,270 per month",1,1,1,1,1,1,1,1,0,0
495,"Windermere, gilford road, Sandymount, Dublin 4",1 Bed,1 Bath,"€1,950 per month",1,1,1,1,1,0,1,1,0,0
496,"Apartment Greenhills, Drogheda, Co. Louth",1 Bed,1 Bath,"€1,650 per month",0,0,1,0,0,0,0,1,0,0
497,"Brookville, Drogheda, Drogheda, Co. Louth",3 Bed,3 Bath,"€2,650 per month",1,1,1,0,1,0,1,0,0,0
498,"Ballsgrove, Drogheda, Co. Louth",3 Bed,3 Bath,"€3,000 per month",1,1,1,0,1,0,1,0,0,0
499,"12 Strand Cottages, North Strand, Drogheda, Co. Louth",2 Bed,1 Bath,"€1,820 per month",0,0,0,0,0,0,0,0,0,0
500,"New Road, Castlerea, Co. Roscommon",3 Bed,2 Bath,"€1,350 per month",1,1,1,1,1,0,0,1,0,0
501,"Foxborough road, Lucan, Co. Dublin",3 Bed,1 Bath,"€3,100 per month",1,1,1,1,1,0,1,1,0,0
502,"The Elms, Roselee, Mooncoin, Mooncoin, Co. Kilkenny",3 Bed,3 Bath,"€1,850 per month",1,1,1,1,1,0,1,1,0,0
503,"Grange, Corrandulla, Corrandulla, Co. Galway",4 Bed,2 Bath,"€2,300 per month",1,1,1,1,1,0,1,1,0,0
504,"Gorey Town, Gorey, Co. Wexford",2 Bed,1 Bath,"€1,600 per month",1,1,1,0,1,0,0,1,0,0
505,"Fiddown, Piltown, Co. Kilkenny, Fiddown, Co. Kilkenny",3 Bed,3 Bath,"€1,350 per month",1,1,1,1,0,0,1,1,0,1
506,"Main Street, Dunfanaghy, Letterkenny, Dunfanaghy, Co. Donegal",3 Bed,1 Bath,"€1,350 per month",1,1,1,1,1,1,1,0,0,0
507,"Sundrive Road Kimmage Dublin 12, Kimmage, Dublin 12",4 Bed,1 Bath,"€2,740 per month",1,1,1,0,0,1,1,1,0,0
508,"28 Roebuck Castle, Clonskeagh, Clonskeagh, Dublin 14",3 Bed,2 Bath,"€2,862 per month",1,0,0,0,0,0,1,0,0,0
509,"Ballyhamsane, Minane Bridge, Cork, Ballyfeard, Co. Cork",1 Bed,1 Bath,"€1,000 per month",1,1,1,0,1,0,0,1,0,0
510,"22 Athlumney Villas, Dublin 6, Ranelagh, Dublin 6",2 Bed,1 Bath,"€2,700 per month",1,1,1,0,1,0,1,0,0,0
511,"Roebuck Downs, Dublin 14, Windy Arbour, Dublin 14",3 Bed,1 Bath,"€3,300 per month",1,1,1,0,1,1,1,1,0,0
512,"Apartment 7, 18 Baggot Street Lower, Dublin 2",2 Bed,2 Bath,"€3,250 per month",1,1,1,1,1,0,1,1,0,0
513,"Trinity House, Church Gardens, Rathmines, Dublin 6",1 Bed,1 Bath,"€1,853 per month",1,0,0,0,0,0,1,0,0,0
514,"Main Street, Ongar, Dublin 15",2 Bed,3 Bath,"€2,017 per month",1,1,1,1,1,0,0,1,0,0
515,"65 Gardiner Street Lower, Dublin 1, Dublin 1",4 Bed,2 Bath,"€4,100 per month",0,1,1,1,1,1,1,1,0,1
516,"Dartmouth Square North, Dublin 6, Ranelagh, Dublin 6",4 Bed,4 Bath,"€9,500 per month",0,0,0,0,0,0,0,0,0,0
517,"Kingscourt, Smithfield, Dublin 7",2 Bed,1 Bath,"€2,090 per month",1,0,1,1,0,0,1,1,0,0
518,"Apartment 17, Tara View, Dublin 4",2 Bed,2 Bath,"€3,225 per month",0,0,0,0,0,0,0,0,0,0
519,"The School Yard, 533, Dublin 1",N/A,1 Bath,"€1,805 per month",0,1,1,1,1,0,1,1,0,0
520,"The School Yard, 533, Dublin 1",2 Bed,2 Bath,"€2,490 per month",1,1,1,0,1,0,1,1,0,0
521,"The Elms, Carrington, Santry, Dublin 9",1 Bed,1 Bath,"€1,850 per month",0,1,1,1,1,0,1,1,0,0
522,"Block C, Ashbrook, Howth Road, Clontarf, Dublin 3",1 Bed,1 Bath,"€1,845 per month",1,0,1,1,1,0,1,1,0,0
523,"Block D, Ashbrook, Howth Road, Clontarf, Dublin 3",2 Bed,1 Bath,"€2,140 per month",1,0,1,1,1,0,0,1,0,0
524,"Apartment 6, Phoenix Park Way, Phoenix Park Racecourse, Castleknock, Dublin 15",2 Bed,2 Bath,"€2,360 per month",1,1,1,0,1,0,0,1,0,0
525,"City Square, Dublin 2",1 Bed,1 Bath,"€2,150 per month",0,0,1,1,1,0,1,1,0,0
526,"DUPLEX Apartment 41, Tara View, Dublin 4",2 Bed,2 Bath,"€3,500 per month",1,1,1,0,1,0,1,1,0,0
527,"Charlestown Place, Finglas, Dublin 11",2 Bed,2 Bath,"€2,050 per month",1,1,1,1,1,0,1,1,0,0
528,"Apartment 34, Tara View, Dublin 4",2 Bed,2 Bath,"€3,300 per month",1,1,1,1,1,0,1,1,0,0
529,"Wood's Place,York Street,Cork, St. Lukes, Co. Cork",2 Bed,2 Bath,"€2,500 per month",0,0,0,0,0,0,0,0,0,0
530,"Wolseley park, Tullow, Co. Carlow",4 Bed,3 Bath,"€2,300 per month",1,1,1,1,1,0,1,0,0,0
531,"Thomas street,Castlebar town Centre , Castlebar, Co. Mayo",2 Bed,2 Bath,"€1,400 per month",1,0,1,0,0,0,1,0,0,0
532,"Thornlea Bank, Newtown Upper, Rathcoole, Co. Dublin",3 Bed,2 Bath,"€3,500 per month",1,1,1,0,0,0,1,0,0,0
533,"Mountgorry Way, Swords, Co. Dublin",N/A,N/A,€300 per week,0,0,1,0,0,0,0,0,0,0
534,"Clonakitly/Timoleague, Carrig, Co. Cork",2 Bed,2 Bath,"€1,150 per month",0,0,0,0,0,0,0,0,0,0
535,"Laragh, Castleblayney, Loughmorne, Co. Monaghan",4 Bed,2 Bath,"€1,200 per month",0,0,0,0,0,0,0,0,0,0
536,"Julianstown, Drogheda, Co. Louth",1 Bed,1 Bath,"€1,150 per month",1,1,1,0,0,1,1,1,0,0
537,"Grangecon, Grange Con, Co. Wicklow",4 Bed,3 Bath,"€3,800 per month",1,1,1,1,1,0,1,1,0,0
538,"Apartment 304, Bachelors Walk Apartments, Dublin 1",1 Bed,1 Bath,"€2,000 per month",0,0,0,0,0,0,0,0,0,0
539,"28 Cabra Drive, Dublin 7, North Circular Road, Dublin 7",3 Bed,2 Bath,"€2,900 per month",0,0,0,0,0,0,0,0,0,0
540,"Serviced Apartments in Malahide, Malahide, Co. Dublin",2 Bed,1 Bath,"€1,015 per week",1,1,1,1,1,1,1,1,0,0
541,"40 Block 3, Marina Village, Malahide, Co. Dublin",2 Bed,2 Bath,"€2,500 per month",1,1,1,1,0,1,1,0,0,0
542,"Ellismore Cottage, Myra Manor, Malahide Road, Malahide, Co. Dublin",3 Bed,1 Bath,"€3,500 per month",1,1,1,1,0,1,1,0,0,0
543,"Ballyboughal, Ballyboughal, Co. Dublin",5 Bed,2 Bath,"€2,800 per month",1,1,1,1,1,0,1,1,0,0
544,"8 Ave Maria, Mounttown Park, Mounttown, Glenageary, Co. Dublin",4 Bed,2 Bath,"€3,600 per month",0,0,0,0,0,0,0,0,0,0
545,"6 Dundela Haven, Sandycove, Co. Dublin",2 Bed,1 Bath,"€2,600 per month",0,0,0,0,0,0,0,0,0,0
546,"Flat 4, 138 Rathgar Road, Dublin 6",N/A,N/A,"€1,710 per month",0,0,1,1,0,1,1,1,0,1
547,"Clontarf, Dublin 3",N/A,N/A,€950 per month,0,0,0,0,0,0,0,0,0,0
548,"Saint Aidans Green, Foulksmills, Co. Wexford",N/A,N/A,€180 per week,0,0,1,0,0,0,0,0,0,0
549,"Sharwood Estate, Newcastle West, Co. Limerick",N/A,N/A,€300 per week,0,0,1,0,0,0,0,0,0,0
550,"Westgate Road, Bishopstown, Co. Cork",N/A,N/A,€180 per week,0,0,1,0,0,0,0,0,0,0
551,",Kilteevan,Roscommon, Kilteevan, Co. Roscommon",4 Bed,3 Bath,"€1,850 per month",1,1,1,1,1,0,0,0,0,0
552,"Ranelagh Road Beside The Barge, Ranelagh, Dublin 6",N/A,N/A,"€1,485 per month",1,1,1,1,0,1,1,1,0,0
553,"Anglesea House, Ballsbridge, Dublin 4, Sandymount, Dublin 4",1 Bed,1 Bath,"€2,500 per month",1,1,1,1,1,1,1,1,0,0
554,"Ballyveal, Ballon, Co. Carlow",4 Bed,4 Bath,"€3,000 per month",1,1,1,1,1,0,1,1,0,0
555,"Wolseley Village, Tullow, Co. Carlow",3 Bed,2 Bath,"€1,700 per month",0,1,1,0,1,0,0,0,0,0
556,"Stickins, Caragh, Naas, Carragh, Co. Kildare",2 Bed,1 Bath,"€1,500 per month",1,1,1,0,0,0,1,0,0,0
557,"Seafort Terrace, Seafort Avenue, Sandymount, Dublin 4",3 Bed,2 Bath,"€4,200 per month",1,1,1,0,1,0,1,0,0,0
558,"Apartment 67, Kilakee, Two Oaks, Knocklyon, Dublin 16",1 Bed,1 Bath,"€1,965 per month",1,1,1,1,1,1,1,1,0,1
559,"Flat 15, 34 Elgin Road, Ballsbridge, Ballsbridge, Dublin 4",N/A,N/A,"€1,900 per month",0,0,1,1,0,1,1,1,0,1
560,"Caherlevoy, Mountcollins, Co. Limerick",3 Bed,3 Bath,"€1,229 per month",0,0,0,0,0,0,0,0,0,0
561,"Apartment 5, Newtown Park House, Newtown, Co. Waterford",1 Bed,1 Bath,"€1,500 per month",0,0,0,0,0,0,0,0,0,0
562,"Apartment, Clipper View, Arbour Hill, Dublin 7",2 Bed,1 Bath,"€2,100 per month",0,0,0,0,0,0,0,0,0,0
563,"Moorefield , Newbridge, Co. Kildare",1 Bed,1 Bath,"€1,140 per month",1,1,1,0,0,0,1,0,0,0
564,"The Fastnet, Lancaster Gate, Western Road, Co. Cork",3 Bed,2 Bath,"€3,000 per month",1,1,1,0,1,0,1,1,0,0
565,"Clonmahon Place, Cavan Road, Ballinagh, Cavan, Ballinagh, Co. Cavan",2 Bed,1 Bath,"€1,100 per month",1,1,1,1,1,0,0,1,0,0
566,"Cork, Innishannon, Co. Cork",1 Bed,1 Bath,€400 per week,0,0,0,0,0,0,0,0,0,0
567,"Reenard South, Caherciveen, Cahersiveen, Co. Kerry",4 Bed,2 Bath,"€2,200 per month",1,1,1,0,0,0,1,1,0,0
568,"209 Bannow Road, Dublin 7, Cabra, Dublin 7",N/A,N/A,"€1,300 per month",0,0,1,0,0,0,0,1,0,0
569,"Apartment 23, Block D, Hawthorn Crescent, Drishoge, Carrick-on-Shannon, Co. Roscommon",2 Bed,2 Bath,"€1,400 per month",1,1,1,1,0,0,1,1,0,0
570,"Harmonstown, Dublin 5, Artane, Dublin 5",3 Bed,1 Bath,"€3,299 per month",1,1,1,0,0,1,1,1,0,0
571,"Coolough, Galway, Headford Road, Co. Galway",1 Bed,3 Bath,€160 per week,0,0,1,1,0,1,0,1,0,0
572,"Pakenham House, Spencer Dock, Dublin 1",2 Bed,2 Bath,"€2,700 per month",0,1,1,1,1,0,1,1,0,0
573,"Sallins Bridge, Sallins, Co. Kildare",8 Bed,3 Bath,"€5,000 per month",1,1,1,1,1,0,1,1,0,0
574,"Edgewood Lawns, Dublin 15, Ballycoolin, Dublin 15",9 Bed,3 Bath,"€6,000 per month",1,1,1,0,0,0,1,0,0,0
575,"Flat 3, 34 Summer Street North, Dublin 1, North Circular Road, Dublin 1",N/A,N/A,"€1,600 per month",0,1,1,1,0,1,0,1,0,0
576,"Acha Bhile,Lahinch Road,Ennis,Co. Clare, Fountain Cross, Co. Clare",3 Bed,3 Bath,"€1,650 per month",1,1,1,1,0,0,0,0,0,0
577,"2 Grafton, Ballsbridge, Dublin 4",2 Bed,3 Bath,"€3,500 per month",1,0,1,1,0,0,1,0,0,0
578,"Daleview Road, Swords, Co. Dublin",3 Bed,2 Bath,"€1,860 per month",1,1,1,0,0,0,1,1,0,0
