86,"The Benson, The Benson, Britain Quay, Dublin 2",3 Bed,2 Bath,"€4,500 per month"
87,"Occu Hollywoodrath, Hollywoodrath, Hollystown, Dublin 15",3 Bed,3 Bath,"€2,256 per month"
88,"Occu Verville, Vernon Avenue, Clontarf, Dublin 3",2 Bed,2 Bath,"€2,479 per month"
89,"Occu Strand View, Howth Road, Raheny, Dublin 5",3 Bed,2 Bath,"€3,451 per month"
90,"Occu Adamstown, Adamstown, Adamstown, Co. Dublin",1 Bed,1 Bath,"€1,908 per month"
91,"Occu Brookwood, St. Brigid's Road, Killester, Dublin 5",1 Bed,1 Bath,"€2,095 per month"
92,"Occu East Village, Leopardstown, Dublin 18, Clay Farm Drive, Leopardstown, Dublin 18",1 Bed,1 Bath,"€2,250 per month"
93,"Occu Hanover Mills, Dublin 2, Creighton Street, Dublin 2",2 Bed,1 Bath,"€3,000 per month"
94,"Kinlay Hostel Student Accommodation Galway, Eyre Square, Galway, Galway City Centre",N/A,N/A,N/A
95,"Allmans View, Bandon, Co. Cork, Coolfadda, Bandon, Co. Cork",2 Bed,2 Bath,"€1,080 per month"
96,"U Carton Grove, Carton Grove, Maynooth, Co. Kildare",2 Bed,2 Bath,"€2,090 per month"
97,"Clancy Quay by Kennedy Wilson, South Circular Road, Dublin 8",2 Bed,2 Bath,"€2,500 per month"
98,"Charlotte Apartments, Honeypark, Dun Laoghaire, Co. Dublin",1 Bed,1 Bath,"€1,958 per month"
99,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",N/A,N/A,From €240 per week
100,"Drumkeen, Glenamuck Road, Carrickmines, Dublin 18",4 Bed,4 Bath,"€4,000 per month"
101,"The Fairways, Tir Cluain, Midleton, Co. Cork, The Fairways, Midleton, Co. Cork",3 Bed,2 Bath,"€1,380 per month"
102,"Alto Vetro, Grand Canal Square, Dublin 2",3 Bed,3 Bath,"€6,000 per month"
103,"Wyckham Point, Wyckham Way, Dublin 14",2 Bed,2 Bath,"€2,051 per month"
104,"Number 1 Ballsbridge, Shelbourne Road, Dublin 4",2 Bed,3 Bath,"€4,500 per month"
105,"Navan Town centre, Navan, Co. Meath",1 Bed,1 Bath,"€1,675 per month"
106,"Abbey View, Monkstown, Blackrock, Co. Dublin",N/A,1 Bath,"€2,200 per month"
107,"The Main Square, Beggar's Bush, Haddington Road, Ballsbridge, Dublin 4",2 Bed,1 Bath,"€3,300 per month"
108,"164 Comeragh Road, Drimnagh, Dublin 12",N/A,N/A,"€1,350 per month"
109,"Saint Joseph'S Avenue,Dublin 9, Drumcondra, Dublin 9",1 Bed,1 Bath,"€1,850 per month"
110,"Flat 1, 68 North Circular Road, Dublin 7, Stoneybatter, Dublin 7",2 Bed,1 Bath,"€1,400 per month"
111,"Apartment 5, 98/99 Francis Street, Dublin 8, Christchurch, Dublin 8",1 Bed,1 Bath,"€2,034 per month"
112,"Caragh,Naas,Co. Kildare, Carragh, Co. Kildare",3 Bed,1 Bath,"€1,800 per month"
113,"ballinroad, Dungarvan, Co. Waterford",3 Bed,2 Bath,"€1,800 per month"
114,"31 Garville Lane, Rathgar, Dublin 6",4 Bed,4 Bath,"€6,000 per month"
115,"Bannow Road, Dublin 7, Cabra, Dublin 7",3 Bed,1 Bath,"€3,200 per month"
116,"Havelock Square, Sandymount, Dublin 4",2 Bed,2 Bath,"€6,500 per month"
117,"Tara Street, Dublin 2",2 Bed,1 Bath,"€3,000 per month"
118,"Priory Court, St. Michael’s Road, Gorey, Co. Wexford, Gorey, Co. Wexford",2 Bed,2 Bath,"€1,650 per month"
